"Sr. No","Institute Code","Institute Name","CAP I","CAP II","CAP III"
250,6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",Download,Download,"-"
251,6250,"D.Y. Patil College of Engineering and Technology, Kolhapur",Download,Download,"-"
252,6265,"Walchand Institute of Technology, Solapur",Download,Download,"-"
253,6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",Download,Download,"-"
254,6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Download,Download,"-"
255,6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli",Download,Download,"-"
256,6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",Download,Download,"-"
257,6271,"Pune Institute of Computer Technology, Dhankavdi, Pune",Download,Download,"-"
258,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",Download,Download,"-"
259,6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",Download,Download,"-"
260,6274,"Pune Vidyarthi Griha's College of Engineering and Technology, Pune",Download,Download,"-"
261,6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",Download,Download,"-"
262,6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",Download,Download,"-"
263,6277,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Download,Download,"-"
264,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",Download,Download,"-"
265,6281,"Modern Education Society's College of Engineering, Pune",Download,Download,"-"
266,6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",Download,Download,"-"
267,6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli",Download,Download,"-"
268,6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune",Download,Download,"-"
269,6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune",Download,Download,"-"
270,6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur",Download,Download,"-"
271,6289,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",Download,Download,"-"
272,6293,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur",Download,Download,"-"
