"","Name.of.the.College","State","Institutional.CGPA","Grade","Accreditation.valid.up.to"
"190","Sambhajirao Kendre Mahavidyalaya, Jalkot, Latur – 413532 (First Cycle)","Maharashtra","2.06","B","2022-09-11"
"191","Sangola College, Sangola, Solapur – 413307 (Third Cycle)","Maharashtra","2.79","B++","2022-09-11"
"192","Sanjeevanee Mahavidyalaya, Latur – 413513 (First Cycle)","Maharashtra","1.77","C","2021-01-18"
"193","Sanjivani College of Pharmaceutical Education and Research, Sahajanandnagar, Shingnapure, Kopargaon, Ahmednagar - 423603 (First Cycle)","Maharashtra","3.03","A","2022-09-11"
"194","Sanjivani Rural Education Society’s Sanjivani College of Engineering, Sahajanandnagar, Shingnapur, Kopargaon, Ahmednagar – 423603 (First Cycle)","Maharashtra","3.02","A","2022-09-11"
"195","Saraswati Vidya Mandir Arts College, Kinwat, Nanded – 431804 (Second Cycle)","Maharashtra","2.55","B+","2022-09-11"
"196","School of Fashion Technology, Pune – 411052 (First Cycle)","Maharashtra","2.43","B","2021-03-28"
"197","Secondary Education Society’s Arts and Science College, District Jalgaon, Bhalod – 425304 (Second Cycle) ","Maharashtra","2.08","B","2020-09-13"
"198","Secondary Training College, Mumbai, 400001 (Second Cycle)","Maharashtra","3.23","A","2020-04-30"
"199","Seva Sadan's R. K. Talreja College of Arts, Science and Commerce, Ulhasnagar, Thane – 421003 (Second Cycle) ","Maharashtra","2.83","B","2021-05-24"
"200","Shankarlal Khandelwal Arts, Science  and Commerce College, Akola – 444002 (Second Cycle) ","Maharashtra","2.88","B","2021-03-16"
"201","Sharadchandra Arts and Commerce College, Nagpur – 441108 (First Cycle)","Maharashtra","2.63","B","2021-03-28"
"202","Sharadopasak Shikshan Sanstha Aurad Shaha Sanchalit Master Deenanath Mangeshkar Mahavidyalaya, Latur – 413522 (Second Cycle)","Maharashtra","2.74","B","2020-11-14"
"203","Shegaon Education Society, Shegaon's G. B. Murarka Arts and Commerce College, Shegaon, Buldhana – 444203 (Second Cycle)","Maharashtra","2.77","B","2021-01-18"
"204","Sholapur Social Association's Arts and Commerce College, Solapur – 413005 (Second Cycle)","Maharashtra","2.76","B","2020-11-14"
"205","Shree Yoganand Swami Arts College, Hingoli – 431512  (First Cycle)","Maharashtra","2.1","B","2020-09-13"
"206","Shreemati Nathibai Damodar Thackersey Arts and Commerce College for Women, Pune – 411038 (Second Cycle) ","Maharashtra","2.76","B","2020-09-13"
"207","Shri Balaji Sansthan Deulgaon Raja's Shri Vyankatesh Arts and Commerce College, Deulgaon Raja, Dist. Buldana, 443204 (Second Cycle)","Maharashtra","2.63","B","2020-06-24"
"208","Shri Datta Arts & Commerce College, Dist. Nanded, 431712 (Second Cycle)","Maharashtra","2.12","B","2020-04-30"
"209","Shri Dnyanesh Mahavidyalaya, Nawargaon District, Chandrapur – 441223 (Second Cycle)","Maharashtra","2.4","B","2021-01-18"
"210","Shri Gadge Maharaj Mahavidyalaya, Dist. Akola, 444107 (Second Cycle)","Maharashtra","2.4","B","2020-04-30"
"211","Shri Ganesh Education Soceity's Shri Asaramji Bhandwaldar Arts, Commerce and Science College, Aurangabad – 425112 (Second Cycle) ","Maharashtra","2.54","B","2020-09-13"
"212","Shri Govindrao Munghate Arts & Science College, Dist. Gadchiroli, 441209 (Second Cycle)","Maharashtra","2.81","B","2020-04-30"
"213","Shri Mudhaidevi Shikshan Sanstha's Prof. Sambhajirao Kadam College, Koregaon, Satara, Deur – 415524 (Second Cycle)","Maharashtra","2.52","B","2020-11-14"
"214","Shri Pandurang Shikshan Prasarak Mandal, Pandharapur Sanchalit Uma Mahavidyalaya, Pandharpur, Solapur – 413304 (Second Cycle)","Maharashtra","2.26","B","2021-02-18"
"215","Shri Sachhidanand Shikshan Sanstha's Arts, Commerce & Science College, Dist. Nagpur, 441111 (First Cycle)","Maharashtra","2.42","B","2020-04-30"
"216","Shri Samarth Shikshan Prasarak Mandal Ashti Dwara Sanchalit Shri Samarth Arts and Commerce College, Wardha – 442202 (Second Cycle)","Maharashtra","1.81","C","2021-02-18"
"217","Shri Sant Tukaram Shikshan Prasarak Mandal's Adhyapak Mahavidyalaya, Maval, Vadgaon, Pune – 412106 (Second Cycle)","Maharashtra","2.3","B","2020-11-14"
"218","Shri Shivaji Education Society Amravati's Science College, Nagpur – 440012 (Third Cycle)","Maharashtra","3.26","A","2024-02-18"
"219","Shri Shivaji Education Society Amravati's Shri Pundlik Maharaj Mahavidyalaya, Buldana – 443404 (Second Cycle","Maharashtra","1.86","C","2021-03-28"
"220","Shri Shivaji Education Society Amravati's Shri Shivaji Arts, Commerce & Science College, Dist. Buldhana, 443103 (Second Cycle)","Maharashtra","1.86","C","2020-04-30"
"221","Shri Shivaji Education Society Amravati's Shri Shivaji College of Arts, Commerce and Science, Akola – 444001 (Third Cycle)","Maharashtra","3.24","A","2021-03-16"
"222","Shri Shivaji Education Society, Amravati's Arts and Commerce Mahavidyalaya, Dist. Amravati, 444908 (Second Cycle)","Maharashtra","2.02","B","2020-04-30"
"223","Shri Shivaji Science College, Amravati – 444603 (Third Cycle)","Maharashtra","3.13","A","2020-11-14"
"224","Shri Swami Vivekanand Shikshan Sanstha's Vivekanand College, Kolhapur – 416003 (Third Cycle)","Maharashtra","3.24","A","2021-01-18"
"225","Shri Vile Parle Kelavani Mandal's Mithibai College of Arts, Chauhan Institute of Science and Amrutben Jivanlal College of Commerce and Economics, Mumbai – 400056 (Second Cycle)","Maharashtra","3.57","A","2021-02-18"
"226","Shri Yogeshwari Education Society's Yogeshwari Mahavidyalaya, Ambajogai – 431517 (Second Cycle)","Maharashtra","2.5","B","2021-01-18"
"227","Shrikrishna Education Society's Shrikrishna Mahavidyalaya, Omerga, Osmanabad, Amravati – 413613 (Second Cycle) ","Maharashtra","2.26","B","2020-09-13"
"228","Shrimant Babasaheb Deshmukh Mahavidyalaya, Sangli, Atpadi – 415301 (Second Cycle) ","Maharashtra","2.67","B","2020-09-13"
"229","Shripad Krishna Kolhatkar Mahavidyalaya, Jalgaon Jamod – 443402 (Second Cycle) ","Maharashtra","2.26","B","2021-03-16"
"230","SIES (Nerul) College of Arts, Science and Commerce, Navi Mumbai – 400706 (Second Cycle)","Maharashtra","3.1","A","2020-11-14"
"231","SIES College of Arts, Science & Commerce, Mumbai, 400022 (Third Cycle)","Maharashtra","3.51","A","2020-05-10"
"232","SIES College of Commerce and Economics, Mumbai, 400022 (Third Cycle)","Maharashtra","3.02","A","2020-04-30"
"233","Sillod Shikshan Sanstha Aurangabad's Siddharth Arts, Commerce & Science College, Dist. Jalna, 431206 (Second Cycle)","Maharashtra","2.34","B","2020-04-30"
"234","Smt. Dankunwar Mahila Mahavidyalaya, Jalna – 431203 (Second Cycle)","Maharashtra","2.6","B","2020-11-14"
"235","Smt. Kokilabai Gawande Mahila Mahavidyalaya, Daryapur, Amravati – 444803  (First Cycle","Maharashtra","1.62","C","2020-09-13"
"236","Smt. Nankibai Wadhwani Kala Mahavidyalaya, Yavatmal – 445001 (First Cycle)","Maharashtra","2.21","B","2021-02-18"
"237","Smt. P. N. Doshi Women's College of Arts Kum. U. R. Shah Women's College of Commerce and Dr. (Smt.) Nanavati Bhanuben Mahendra Women's College of Home Science, Mumbai – 400086 (Third Cycle)","Maharashtra","3.02","A","2023-03-28"
"238","Smt. Radhadevi Goenka College for Women, Akola – 444001 (Second Cycle)","Maharashtra","2.71","B","2021-02-18"
"239","Smt. Rajkamal Baburao Tidke Mahavidyalaya, Mouda, Nagpur – 441104 (First Cycle)","Maharashtra","2.27","B","2022-09-11"
"240","Smt. Shakuntalabai Dhabekar Mahavidyalaya, Karanja (Lad), Washim – 444105 (First Cycle)","Maharashtra","1.75","C","2020-11-14"
"241","Smt. Sushiladevi Deshmukh Senior College, Latur – 413512 (Second Cycle)","Maharashtra","2.8","B++","2022-09-11"
"242","Sonopant Dandekar Shikshan Mandal's Sonopant Dandekar Arts, V. S. Apte Commerce and M.H. Mehta Science College, Thane – 401404 (Second Cycle) ","Maharashtra","2.74","B","2021-03-28"
"243","Sophia College For Women, Mumbai, 400026 (Third Cycle)","Maharashtra","3.7","A","2022-04-30"
"244","Sophia Smt. Manorama Devi Somani College, Mumbai – 400026 (First Cycle)","Maharashtra","3.03","A","2021-02-18"
"245","Sou. Sushila Danchand Ghodawat Charitable Trust's Group of Institutions, Atigre, Dist. Kolhapur, 416118 (First Cycle)","Maharashtra","3.12","A","2020-06-24"
"246","St. Francis De Sales College, Nagpur – 440006 (Third Cycle)","Maharashtra","3.23","A","2020-09-13"
"247","St. Francis Institute of Management and Research, Mumbai – 400103 (First Cycle)","Maharashtra","3.01","A","2021-03-16"
"248","St. Gonsalo Garcia College of Arts and Commerce, Thane -  401201 (Second Cycle)","Maharashtra","2.43","B","2020-11-14"
"249","St. Joseph College of Arts and Commerce, Palghar – 401301 (Second Cycle)","Maharashtra","2.7","B","2020-11-14"
"250","St. Teresa's Institute of Education, Mumbai – 400054  (Third Cycle)","Maharashtra","3.27","A","2021-03-16"
"251","St. Xavier’s College (Autonomous), Mahapalika Marg, Mumbai, Maharashtra (Third Cycle)","Maharashtra","3.63","A","2020-10-24"
"252","St. Xavier's Institute of Education, Mumbai – 400020 (Second Cycle) ","Maharashtra","3.11","A","2021-03-28"
"253","SVB's Saraswathi College of Education and Research, Dombivli East , Thane – 421204 (First Cycle)","Maharashtra","2.84","B","2021-03-28"
"254","SVERI's College of Engineering, Pandharpur, Solapur – 413304 (First Cycle)","Maharashtra","2.75","B","2020-11-14"
"255","Swami Vivekanand Night College of Arts and Commerce, Dombivli – 421201 (Second Cycle)","Maharashtra","1.88","C","2021-02-18"
"256","Swami Vivekanand Senior College, Jalna – 431504 (Second Cycle) ","Maharashtra","2.2","B","2020-09-13"
"257","Swavalambi College of Education, Wardha – 442001 (Second Cycle)  ","Maharashtra","3.01","A","2021-03-16"
"258","The Berar General Education Society's Smt. Laxmibai Radhakisan Toshniwal College of Commerce, Akola – 444001 (Third Cycle)","Maharashtra","3.03","A","2021-03-28"
"259","The Shirpur Education Society's R. C. Patel College of Education, Dhule – 425405 (Second Cycle)","Maharashtra","3.11","A","2021-01-18"
"260","V. K. Krishna Menon College of Commerce and Economics and Sharad Shankar Dighe College of Science, Bhandup (East), Mumbai – 400042 (Second Cycle","Maharashtra","2.81","B","2020-09-13"
"261","Vasantrao Kale Mahavidyalaya, Osmanabad – 413580 (First Cycle)","Maharashtra","2.15","B","2021-03-16"
"262","Vidya Prasarak Mandal's B. N. Bandodkar College of Science, Thane (West), Mumbai – 400601 (Third Cycle)","Maharashtra","3.21","A","2020-11-14"
"263","Vidya Pratishthan’s Kamalnayan Bajaj Institute of Engineering and Technology, Vidyanagari, Baramati, Pune – 413133 (First Cycle)","Maharashtra","3.12","A","2022-09-11"
"264","Vidya Vikas Mandal’s Arts and Commerce College, Akkalkuwa, Nandurbar – 425415 (Second Cycle)","Maharashtra","2.21","B","2022-09-11"
"265","Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur – 413008 (First Cycle)","Maharashtra","2.41","B","2021-02-18"
"266","Vidya Wardhini Sabha's Arts, Commerce and Science College, Dhule – 424001 (Second Cycle) ","Maharashtra","2.5","B","2020-09-13"
"267","Vitthalrao Patil Mahavidyalaya, Kale, Panhala, Kolhapur – 416205 (First Cycle)","Maharashtra","1.99","C","2020-09-13"
"268","Vitthalrao Shinde Arts College, Solapur – 413211 (First Cycle)","Maharashtra","1.64","C","2021-03-16"
"269","Vivekanand Education Society’s College of Arts, Science and Commerce, Chembur, Mumbai – 400071 (Third Cycle","Maharashtra","3.26","A","2022-09-11"
"270","Wada College of Management and Science, Harosale, Wada, Palghar – 421303 (First Cycle","Maharashtra","2.29","B","2022-09-11"
"271","Walchand College of Engineering, Sangli – 416415 (First Cycle)","Maharashtra","3.25","A","2021-03-28"
"272","Warana Mahavidyalaya, Walwa, Uran Islampur, Sangli – 415409 (First Cycle)","Maharashtra","1.77","C","2020-11-14"
"273","Women's College of Arts, Commerce and Computer Application, Dongar Kathore, Tal. Yawal, Jalgaon – 425317 (Second Cycle) ","Maharashtra","2.17","B","2020-09-13"
"274","Women's Education Society's Smt. Mathubai Garware Kanya Mahavidyalaya, Sangli – 416416(Third Cycle)","Maharashtra","3.08","A","2022-09-11"
"275","Yadaorao Poshattiwar Arts College, Chandrapur – 441221 (First Cycle)","Maharashtra","1.62","C","2021-02-18"
"276","Yeshwant Mahavidyalaya, Nanded – 431602  (Third Cycle)","Maharashtra","3.29","A","2023-01-18"
"277","A. B. M. S. Parishad’s Yashwantrao Chavan Law College, Pune – 411009 (Third Cycle) ","Maharashtra","2.54","B+","2022-03-27"
"278","A. V. Education Society's Degloor College, Nanded – 431717 (Second Cycle)","Maharashtra","2.81","B++","2021-09-15"
"279","Aadivasi Seva Sahayyak and Shikshan Prasarak Sanstha's Shri S. H. Naik College of Education, Nawapur, Nandurbar – 425418 (Second Cycle)","Maharashtra","3.08","A","2021-12-15"
"280","Abhinav Bharat Shikshan Sanstha's Netaji Subhashchandra Bose Arts, Commerce and Science College, Vairabad, Nanded-Waghala – 431601 (Second Cycle)  ","Maharashtra","2.51","B+","2022-01-22"
"281","Adarsh Education Society’s Arts, Commerce and Science College, Hingoli – 431513 (Second Cycle)","Maharashtra","2.54","B+","2021-11-04"
"282","Adarsha Science, Jairamdas Bhagchand Arts and Birla Commerce Mahavidyalaya, Dhamangaon Rly, Amravati – 444709 (Third Cycle)","Maharashtra","2.81","B++","2022-05-01"
"283","Amolakchand Mahavidyalaya, Yavatmal – 445001 (Second Cycle)","Maharashtra","2.29","B","2021-11-04"
"284","Anantrao Pawar College, Pune – 412115 (First Cycle)","Maharashtra","3.03","A","2021-11-04"
"285","Army Institute of Technology (AIT), Pune – 411015 (Third Cycle)","Maharashtra","3.06","A","2021-09-15"
"286","Arts and Commerce College, Warvat Bakal, Sangrampur, Buldana – 444202 (First Cycle) ","Maharashtra","2.27","B","2021-12-01"
"287","Arts, Commerce and Science College, Maregaon, Yavatmal – 445303 (First Cycle) ","Maharashtra","2.51","B+","2021-12-15"
"288","Ashoka International Centre for Educational Studies and Research, Wadala Shiwar, Nashik – 422006 (First Cycle)","Maharashtra","2.57","B+","2022-05-01"
"289","Ashti Taluka Shikshan Prasarak Mandal's College of Arts, Commerce and Science, Ashti, Beed – 414203 (Second Cycle)","Maharashtra","2.78","B++","2021-12-01"
"290","B. S. S. Arts, Science and Commerce, Osmanabad – 413604 (First Cycle)","Maharashtra","2.2","B","2021-11-04"
"291","B. S. V. Education Society of Wapti's Bahirji Smarak Mahavidyalaya, Hingoli – 431512 (Second Cycle)","Maharashtra","2.64","B+","2021-09-15"
"292","Bahujan Hitay Jagat Shikshan Sanstha Gondia Jagat Arts, Commerce and Indiraben Hariharbhai Patel Science College, Gondia – 441801 (Third Cycle)","Maharashtra","2.31","B","2021-09-15"
"293","Balasaheb Desai College, Patan, Satara – 415206 (Third Cycle) ","Maharashtra","2.68","B+","2022-03-27"
"294","Bansilal Ramnath Agarwal Charitable Trust's Vishwakarma Institute of Information Technology, Pune – 411048(First Cycle)  ","Maharashtra","3.14","A","2021-09-15"
"295","Bharat College of Commerce, Thane – 421503 (Second Cycle)","Maharashtra","2.07","B","2021-09-15"
"296","Bharati Vidyapeeth’s New Law College, Kolhapur – 416012 (First Cycle) ","Maharashtra","3.06","A","2021-12-15"
"297","Bharati Vidyapeeth’s New Law College, Sangli – 416416  (First Cycle)","Maharashtra","3.11","A","2022-01-22"
"298","Bharati Vidyapeeth's Yashwantrao Chavan Law College, Satara – 415539 (First Cycle)","Maharashtra","2.76","B++","2021-11-04"
"299","Bharatiya Shikshan Prasarak Sanstha's Shri Siddheshwar Mahavidyalaya, Beed – 431131 (Second Cycle)","Maharashtra","2.46","B","2021-09-15"
"300","Bhimthadi Education Society’s Late. K. G. Kataria College, Pune – 413801 (First Cycle)","Maharashtra","1.87","C","2021-11-04"
"301","Bombay Teachers’ Training College, Colaba, Mumbai – 400039 (Third Cycle)","Maharashtra","3.28","A","2021-12-15"
"302","Bunts Sangha's S. M. Shetty College of Science, Commerce and Management Studies, Mumbai – 400076 (First Cycle)","Maharashtra","3.04","A","2021-11-04"
"303","Chakan Shikshan Mandal's Arts and Commerce College, Pune – 410501
 (Second Cycle)
","Maharashtra","2.59","B+","2021-09-15"
"304","Chembur Sarvankash Shikshanshastra Mahavidyalaya, Chembur, Mumbai – 400071 (Third Cycle) ","Maharashtra","3.35","A","2022-01-22"
"305","Chembur Trombay Education Society's N. G. Acharya and D. K. Marathe College of Arts, Science and Commerce, Chembur, Mumbai – 400071 (Third Cycle)","Maharashtra","3.19","A","2021-12-15"
"306","Chh. Shahu Central Institute of Business Education and Research Trust, Kolhapur's V. P. Institute of Management Studies and Research, Sangli – 416414 (Second Cycle)","Maharashtra","3.16","A","2021-09-15"
"307","Chhatrapati Shahu Institute of Business Education and Research, Kolhapur – 416004 (Third Cycle)","Maharashtra","3.55","A+","2021-11-04"
"308","College of Military Engineering, Pune – 411031 (Second Cycle)","Maharashtra","3.16","A","2021-09-15"
"309","Dahiwadi College, Tal. Man, Dahiwadi, Satara – 415508 (Third Cycle)","Maharashtra","3.25","A","2022-05-01"
"310","Deshbhakta Sambhajirao Garad Mahavidyalaya, Mohol, Solapur – 413213 (Third Cycle)","Maharashtra","2.14","B","2022-07-18"
"311","Devchand College, Arjunnagar, Kolhapur – 591269 (Third Cycle)","Maharashtra","3.07","A","2021-11-04"
"312","Dhandaimata Education Society Sanchalit Arts College, Jalgaon – 425401 (First Cycle)","Maharashtra","2.17","B","2021-11-04"
"313","Dhote Bandhu Science College, Gondia – 441614 (Third Cycle) ","Maharashtra","3.51","A+","2022-03-27"
"314","DKTE Society's Textile and Engineering Institute, Rajwada, Ichalkaranji – 416115 (First Cycle)","Maharashtra","3.53","A+","2022-01-22"
"315","Dnyan Bharti Society's Sau. Sitabai Ramkrushna Karandikar Senior College of Commerce and Late Mehernosh Boman Burjor Irani College of Arts, Dahanu, Palghar – 401602 (Second Cycle)  ","Maharashtra","2.1","B","2022-01-22"
