"","Gender","sub.group.name"
"1554","M","Civil"
"1555","M","Civil"
"1556","F","Civil"
"1557","M","Civil"
"1558","F","Civil"
"1559","M","Civil"
"1560","M","Civil"
"1561","M","Civil"
"1562","M","Civil"
"1563","F","Civil"
"1564","M","Civil"
"1565","F","Civil"
"1566","M","Civil"
"1567","M","Civil"
"1568","M","Civil"
"1569","M","Civil"
"1570","M","Civil"
"1571","M","Civil"
"1572","M","Civil"
"1573","M","Civil"
"1574","M","Electrical"
"1575","M","Civil"
"1576","M","Civil"
"1577","M","Civil"
"1578","M",""
"1588","M","Civil"
"1589","F","Civil"
"1590","F","Civil"
"1591","M","Civil"
"1592","M","Civil"
"1593","M","Civil"
"1594","F","Civil"
"1595","M","Civil"
"1596","F","Civil"
"1597","F","Civil"
"1598","F","Civil"
"1599","M","Civil"
