,Institute Code,Institute Name
223,6141,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune"
224,6144,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune"
225,6145,"JSPM'S Jaywantrao Sawant College of Engineering,Pune"
226,6146,"MIT Academy of Engineering,Alandi, Pune"
227,6149,"Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering, Maval"
228,6155,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune"
229,6156,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune"
230,6160,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune"
231,6175,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune"
232,6176,"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune"
233,6177,"Sinhgad College of Engineering, Vadgaon (BK), Pune"
234,6178,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune"
235,6179,"Indira College of Engineering & Management, Pune"
236,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
237,6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
238,6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
239,6185,"Sinhagad Institute of Technology, Lonavala"
240,6187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
241,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
242,6206,"Pune District Education Association's College of Engineering, Pune"
243,6207,"Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Engineering & Technology, Pimpri,Pune"
244,6214,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
245,6217,"Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions, Kolhapur"
246,6219,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
247,6220,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"
248,6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."
249,6223,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
250,6250,"D.Y. Patil College of Engineering and Technology, Kolhapur"
251,6265,"Walchand Institute of Technology, Solapur"
252,6267,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur"
253,6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
254,6269,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
255,6270,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
256,6271,"Pune Institute of Computer Technology, Dhankavdi, Pune"
257,6272,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"
258,6273,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
259,6274,"Pune Vidyarthi Griha's College of Engineering and Technology, Pune"
260,6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"
261,6276,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune"
262,6277,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
263,6278,"All India Shri Shivaji Memorial Society's College of Engineering, Pune"
264,6281,"Modern Education Society's College of Engineering, Pune"
265,6282,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
266,6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
267,6284,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"
268,6285,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune"
269,6288,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
270,6289,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
271,6293,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
272,6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"
273,6303,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"
274,6304,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
275,6305,"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"
276,6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli"
277,6308,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
278,6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune"
279,6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
280,6313,"Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva"
281,6315,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"
282,6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
283,6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi"
284,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
285,6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
286,6321,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
287,6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
288,6323,"D. Y. Patil College of Engineering, Ambi, Talegaon, Maval"
289,6324,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
290,6325,"Alard Charitable Trust's Alard College of Engineering and Management, Pune"
291,6326,"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur"
292,6419,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune"
293,6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
294,6545,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."
295,6609,"Jaihind College Of Engineering,Kuran"
296,6620,"D. Y. Patil Institute of Engineering and Technology, Ambi"
297,6622,"I.S.B.& M. School of Technology, Nande Village"
298,6625,"Universal College of Engineering & Research, Sasewadi"
299,6628,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
300,6632,Navsahyadri Education Society's Group of Institutions
301,6634,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
302,6635,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
303,6640,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
304,6643,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
305,6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"
306,6649,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"
307,6732,"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune"
308,6754,"International Institute of Information Technology (I2IT), Pune."
309,6755,"JSPM Narhe Technical Campus, Pune."
310,6756,"Fabtech Technical Campus College of Engineering and Research, Sangola"
311,6757,"Yashoda Technical Campus, Wadhe, Satara."
312,6758,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
313,6759,"Shree Ramchandra College of Engineering, Lonikand,Pune"
314,6762,"Nanasaheb Mahadik College of Engineering,Walwa, Sangli."
315,6766,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara
316,6767,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune."
317,6768,"P.K. Technical Campus, Pune."
